Operation,Runtime (s),CPU Energy (J),GPU Energy (J),Output Token Limit,Input Token Size,Iteration,Model Name,Number of GPUs,Prompt,Output Token Size,Batch Size,System Name,GPU Memory (MB)
inference-A-35,10.419710159301758,26.953594270949097,62.997436789999995,64,8,35,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-36,9.738407850265503,25.2060040506289,60.07872342,64,8,36,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-37,9.533854007720947,24.783977739814755,59.61595347999999,64,8,37,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-38,4.06827974319458,4.7900680323922735,10.14251019,64,8,38,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-39,4.107431173324585,4.786869349334859,10.00918622,64,8,39,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-40,10.007833242416382,25.55329574711672,60.189869370000004,64,8,40,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-41,10.226516962051392,26.357668910357788,61.06075714000001,64,8,41,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-42,10.184889078140259,26.87439141042496,63.212297600000014,64,8,42,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-43,9.969702005386353,26.032190371009257,61.91154121000002,64,8,43,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-44,10.245805025100708,26.255874135559267,62.851260309999994,64,8,44,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-45,9.778064727783203,25.303077811574035,61.44295769,64,8,45,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-46,4.056628942489624,4.804166446470865,9.762392380000001,64,8,46,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-47,9.77907919883728,25.18894877117102,59.39663756,64,8,47,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-48,3.867875814437866,4.206501506734997,9.35332415,64,8,48,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-49,4.138077974319458,4.742112244906443,9.84881915,64,8,49,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-50,4.131089925765991,5.056343171910882,10.70816613,64,8,50,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-51,9.753244161605835,24.957460551736933,58.34677577000001,64,8,51,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-52,9.727879762649536,25.137095137718347,59.859570459999986,64,8,52,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-53,4.057743072509766,4.866492517016848,10.36421151,64,8,53,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-54,7.158406972885132,16.35402696820604,35.332560380000004,64,8,54,Llama-2-7b-chat-hf,1,What is the capital of France?,45,32,M1-Pro,12916.515625
inference-A-55,9.94456434249878,26.350812872526046,60.59681858,64,8,55,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-56,9.90788984298706,25.81684520189459,59.89554019000001,64,8,56,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-57,9.743571758270264,25.134690577844577,58.3690969,64,8,57,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-58,9.717841863632202,25.026496698375638,61.24226088999999,64,8,58,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-59,9.534151315689087,24.42247196588064,58.310833589999994,64,8,59,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-60,9.937911033630371,25.71752918220146,60.810055509999984,64,8,60,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-61,9.9741792678833,24.96773631110151,61.193699020000004,64,8,61,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-62,9.52397894859314,24.459602914005384,58.531803499999995,64,8,62,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-63,9.75043797492981,25.070183090540514,59.87456512999999,64,8,63,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-64,9.719957828521729,24.927395042228067,59.7004811,64,8,64,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-65,10.157235860824585,26.065185185730577,62.997265609999985,64,8,65,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-66,7.1299262046813965,16.02159226420407,34.18828915,64,8,66,Llama-2-7b-chat-hf,1,What is the capital of France?,44,32,M1-Pro,12916.515625
inference-A-67,10.387686252593994,27.26035977263164,61.54008525,64,8,67,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-68,4.311111211776733,5.644010803486296,12.784342440000001,64,8,68,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-69,7.15613317489624,15.897545536663902,35.53951594999999,64,8,69,Llama-2-7b-chat-hf,1,What is the capital of France?,46,32,M1-Pro,12916.515625
inference-A-70,10.18822717666626,27.20733529759302,61.624251750000006,64,8,70,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-71,9.96315598487854,25.661132448630763,61.230516429999994,64,8,71,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-72,9.92673110961914,25.553274758120754,60.623497319999984,64,8,72,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-73,9.935094833374023,25.802208313551045,60.24197023000001,64,8,73,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-74,10.172374963760376,26.491429928073575,61.16768336,64,8,74,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-75,10.407339096069336,27.466816976751584,62.37867299000001,64,8,75,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-76,10.158483982086182,26.679563718327223,60.93138789999999,64,8,76,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-77,4.306942939758301,5.194970216398434,11.496266369999999,64,8,77,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-78,10.359524965286255,26.970998577280376,64.25807508,64,8,78,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-79,4.056643009185791,4.804094985453683,9.5583964,64,8,79,Llama-2-7b-chat-hf,1,What is the capital of France?,18,32,M1-Pro,12916.515625
inference-A-80,4.113679647445679,4.964545229070398,10.227970509999999,64,8,80,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-81,4.11594295501709,4.937923909192927,10.44119603,64,8,81,Llama-2-7b-chat-hf,1,What is the capital of France?,18,32,M1-Pro,12916.515625
inference-A-82,9.574302911758423,24.56373230307438,57.82838017,64,8,82,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-83,9.493871212005615,23.674157752915153,58.43679264999999,64,8,83,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-84,9.920246124267578,25.522837388693986,61.00282887,64,8,84,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-85,9.924842119216919,24.959766803554096,58.87993302,64,8,85,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-86,9.941441059112549,25.35476738198657,58.933206330000004,64,8,86,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-87,10.578143119812012,26.446760745846095,58.80770368999999,64,8,87,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-88,9.702554941177368,24.842167632590474,59.646533229999996,64,8,88,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-89,10.124325037002563,25.654632148198505,59.38403920999999,64,8,89,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-90,10.09899115562439,26.2440642372869,59.93577642000001,64,8,90,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-91,4.27307915687561,5.138566802316995,10.832495820000002,64,8,91,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-92,9.981273174285889,25.074759220697178,58.86825006000001,64,8,92,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-93,9.874696969985962,25.390926139535612,58.779161070000015,64,8,93,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-94,9.896650075912476,25.284712549646688,59.67256108,64,8,94,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-95,10.156473159790039,25.680678086972463,60.180841900000004,64,8,95,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-96,9.704815864562988,24.891884447709966,57.85890281999999,64,8,96,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-97,10.807618856430054,26.41809677605496,68.00645347,64,8,97,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-98,10.337192058563232,25.7204757653783,58.587136079999986,64,8,98,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-99,9.670778751373291,24.573970833332208,59.23732738000001,64,8,99,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-100,10.35671615600586,26.005587919442387,58.026079489999994,64,8,100,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-101,10.363831996917725,26.044179825384372,58.67593698,64,8,101,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-102,10.132728099822998,25.736511583469984,60.360543039999996,64,8,102,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-103,10.322926759719849,25.970330104355373,57.738534400000006,64,8,103,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-104,8.163944005966187,18.890472055748504,42.76467798,64,8,104,Llama-2-7b-chat-hf,1,What is the capital of France?,55,32,M1-Pro,12916.515625
inference-A-105,10.535693883895874,26.547379729674883,59.757415079999994,64,8,105,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-106,7.315738916397095,15.890250295160774,36.07218194000001,64,8,106,Llama-2-7b-chat-hf,1,What is the capital of France?,46,32,M1-Pro,12916.515625
inference-A-107,10.069866180419922,26.118482229207608,60.10501749,64,8,107,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-108,10.045434713363647,25.046227032415754,59.98452681000001,64,8,108,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-109,4.067573070526123,4.764243277529041,9.851374469999998,64,8,109,Llama-2-7b-chat-hf,1,What is the capital of France?,18,32,M1-Pro,12916.515625
inference-A-110,9.979485988616943,24.965974196330603,58.043364340000004,64,8,110,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
load model,20.37041187286377,23.091032921397126,2.7862772399999995,64,0,0,Llama-2-7b-chat-hf,1,,0,32,M1-Pro,12916.515625
inference-A-0,7.237550735473633,12.666386326490478,10.8145202,64,8,0,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-1,13.831695318222046,41.78129959879966,55.039272639999986,64,8,1,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-2,9.926902055740356,25.02478690064611,58.95742984000002,64,8,2,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-3,10.601603031158447,26.46233123535893,60.71120939999999,64,8,3,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-4,5.820650100708008,10.396969239542436,22.01054075,64,8,4,Llama-2-7b-chat-hf,1,What is the capital of France?,32,32,M1-Pro,12916.515625
inference-A-5,10.187335014343262,26.178756637838532,57.13375257999999,64,8,5,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
load model,21.572834014892578,18.480338415559995,2.317325809999999,64,0,0,Llama-2-7b-chat-hf,1,,0,32,M1-Pro,12916.515625
inference-A-0,18.00289487838745,50.46136257775412,54.097611070000006,64,8,0,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-1,9.2910737991333,23.218869065476767,55.71818997000001,64,8,1,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-2,4.24760890007019,5.193224977524546,10.633295069999999,64,8,2,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-3,9.53895878791809,24.220012871124805,56.296319219999994,64,8,3,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-4,9.294195890426636,23.751116065471827,56.17693196,64,8,4,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-5,9.708094120025635,24.772305158206684,57.28724808,64,8,5,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-6,9.952162027359009,24.901348736055418,58.014477299999996,64,8,6,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-7,9.96503496170044,25.219122171911543,58.73897525999998,64,8,7,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-8,9.524292945861816,24.677899124505213,58.187001980000005,64,8,8,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-9,9.946028709411621,25.33914915696354,57.83833639000001,64,8,9,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-10,4.092005014419556,4.65713289843579,9.53909792,64,8,10,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-11,9.55582880973816,24.27744773131321,56.83745189999999,64,8,11,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-12,9.74268913269043,24.602134041081484,56.47672639999999,64,8,12,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-13,4.200125217437744,5.190692811940851,10.98475338,64,8,13,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-14,9.800600051879883,24.724348282817463,57.79001544000001,64,8,14,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-15,4.093411207199097,5.153574574090464,10.150114880000002,64,8,15,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-16,10.733750104904175,27.251941673184465,66.71534033,64,8,16,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-17,8.019820928573608,18.846181893205582,43.24950841,64,8,17,Llama-2-7b-chat-hf,1,What is the capital of France?,51,32,M1-Pro,12916.515625
inference-A-18,10.6683189868927,27.62521747881293,65.38971238999999,64,8,18,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-19,10.678315162658691,27.633674050385228,66.13769839,64,8,19,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-20,10.44160008430481,27.10934595105475,65.70267720999999,64,8,20,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-21,4.277701139450073,5.585306614764453,13.201028299999997,64,8,21,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-22,10.519419193267822,26.667281180762483,71.36250286,64,8,22,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-23,10.639460802078247,27.022083342033213,74.3386236,64,8,23,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-24,4.307308912277222,5.381621211212949,13.2914361,64,8,24,Llama-2-7b-chat-hf,1,What is the capital of France?,19,32,M1-Pro,12916.515625
inference-A-25,11.399992227554321,28.102489507320097,68.43053067,64,8,25,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-26,10.61964201927185,27.291253352792463,61.34150154000001,64,8,26,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-27,10.672199964523315,27.433510598951578,62.652801149999995,64,8,27,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
inference-A-28,10.434978008270264,26.864199422040038,61.57706765,64,8,28,Llama-2-7b-chat-hf,1,What is the capital of France?,72,32,M1-Pro,12916.515625
load model,21.674715995788574,21.417821746990693,3.66781702,64,0,0,Llama-2-7b-chat-hf,1,,0,32,M1-Pro,12916.515625
inference-B-0,18.48157286643982,54.81860130494576,53.678178900000006,64,8,0,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
load model,21.45064091682434,21.88947293645321,3.5168316600000002,64,0,0,Llama-2-7b-chat-hf,1,,0,32,M1-Pro,12916.515625
inference-B-0,17.94933295249939,52.484201679479916,53.94699024999999,64,8,0,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-1,10.41062593460083,26.786957381553183,60.53768208000001,64,8,1,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-2,10.390501976013184,26.321463205634746,58.709244579999975,64,8,2,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-3,9.934399843215942,25.66505163991531,57.527574460000004,64,8,3,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-4,10.619788646697998,27.322227759145704,60.00161026,64,8,4,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-5,10.36904001235962,27.019013330542883,59.89837130999999,64,8,5,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-6,10.13828706741333,26.203269406670042,58.94080039999999,64,8,6,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-7,10.594125032424927,27.09586389663669,60.185309509999996,64,8,7,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-8,10.855116128921509,27.431960605748937,60.64696831,64,8,8,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-9,10.389523983001709,26.557149429994276,58.55714352,64,8,9,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-10,10.619590997695923,27.363972141365394,61.3272949,64,8,10,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-11,10.4270179271698,26.894099843576207,59.928994339999996,64,8,11,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-12,10.389489889144897,27.194534672053145,59.603856289999996,64,8,12,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-13,10.41552209854126,26.913171196538514,60.04518197,64,8,13,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-14,10.39761996269226,27.016793200170852,59.51338928000002,64,8,14,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-15,10.405701875686646,27.36698731656387,59.834466890000016,64,8,15,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-16,10.616306781768799,28.828090122023973,63.81679801999999,64,8,16,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-17,10.028817176818848,26.544443372185338,59.14069774000001,64,8,17,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-18,10.001862287521362,25.980488404273643,59.74543767000001,64,8,18,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-19,9.796619176864624,25.40105488938805,58.505764000000006,64,8,19,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-20,9.744311094284058,25.160829468578132,58.15984441,64,8,20,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
inference-B-21,9.746196031570435,25.50950546553118,58.51365037,64,8,21,Llama-2-7b-chat-hf,1,Is this a really good idea?,72,32,M1-Pro,12916.515625
